# x_m, y_m, vx_mps, psi_rad, kappa_radpm
0.3336685, -13.0293664, 7.6663997, -1.7606692, 0.1945502
0.4340178, -13.0476080, 7.6642629, -1.7404403, 0.2014967
0.5328147, -13.0635009, 7.6642629, -1.7201006, 0.2042869
0.6305642, -13.0771994, 7.6642629, -1.6999865, 0.2024770
0.7291758, -13.0890142, 7.6656490, -1.6802691, 0.1918837
0.8289263, -13.0990354, 7.6750884, -1.6618534, 0.1753608
0.9283693, -13.1072672, 7.6968027, -1.6452076, 0.1581586
1.0276078, -13.1139100, 7.7308827, -1.6303562, 0.1405800
1.1276404, -13.1191952, 7.7772546, -1.6170779, 0.1243655
1.2274621, -13.1232252, 7.8345802, -1.6054979, 0.1073313
1.3271721, -13.1261814, 7.9018963, -1.5956673, 0.0896752
1.4269714, -13.1282455, 7.9686438, -1.5875520, 0.0733771
1.5268525, -13.1295793, 8.0348369, -1.5810083, 0.0576311
1.6268117, -13.1303384, 8.1004890, -1.5760363, 0.0418481
1.7267264, -13.1306786, 8.1656134, -1.5725813, 0.0294502
1.8265083, -13.1307208, 8.2302224, -1.5699655, 0.0229853
1.9264644, -13.1305337, 8.2943282, -1.5679900, 0.0165506
2.0266221, -13.1301803, 8.3579423, -1.5666528, 0.0101622
2.1262548, -13.1297105, 8.4210759, -1.5654376, 0.0143488
2.2261244, -13.1290966, 8.4837396, -1.5637916, 0.0186002
2.3262603, -13.1282949, 8.5459439, -1.5617190, 0.0227792
2.4260928, -13.1272677, 8.6076987, -1.5592099, 0.0279013
2.5258109, -13.1259640, 8.6690135, -1.5561403, 0.0336374
2.6258454, -13.1243200, 8.7298977, -1.5524927, 0.0392555
2.7260289, -13.1222797, 8.7903603, -1.5482836, 0.0446955
2.8255267, -13.1198096, 8.8504097, -1.5435838, 0.0497226
2.9253781, -13.1168353, 8.9100545, -1.5383706, 0.0546260
3.0255948, -13.1133017, 8.9224366, -1.5326521, 0.0593999
3.1252464, -13.1091954, 8.8436818, -1.5264997, 0.0639255
3.2248203, -13.1044566, 8.7670450, -1.5199093, 0.0682728
3.3247745, -13.0990162, 8.6923772, -1.5128625, 0.0724949
3.4248861, -13.0928376, 8.6195245, -1.5053851, 0.0765833
3.5240770, -13.0859542, 8.5483252, -1.4975733, 0.0805264
