# x_m, y_m, vx_mps, psi_rad, kappa_radpm
0.2986809, -12.6581827, 4.9054813, -1.7436848, 0.0122015
0.3986048, -12.6755486, 4.9172306, -1.7418504, 0.0241024
0.4973191, -12.6924572, 4.9289798, -1.7388205, 0.0364817
0.5951257, -12.7088447, 4.9407291, -1.7345808, 0.0490438
0.6932444, -12.7247945, 4.9521412, -1.7291493, 0.0579103
0.7924775, -12.7403405, 4.9629823, -1.7231928, 0.0607094
0.8912694, -12.7552024, 4.9738234, -1.7169848, 0.0635854
0.9896177, -12.7693609, 4.9846645, -1.7105208, 0.0665403
1.0889865, -12.7829920, 4.9944881, -1.7036544, 0.0705244
1.1882510, -12.7958948, 5.0041079, -1.6963903, 0.0745922
1.2871952, -12.8080073, 5.0137277, -1.6887584, 0.0785054
1.3862697, -12.8193495, 5.0228081, -1.6807471, 0.0819410
1.4858361, -12.8299233, 5.0309180, -1.6724035, 0.0846981
1.5852702, -12.8396321, 5.0390279, -1.6638099, 0.0873100
1.6846197, -12.8484594, 5.0471378, -1.6549778, 0.0897613
1.7842765, -12.8564143, 5.0536033, -1.6458824, 0.0921774
1.8839718, -12.8634486, 5.0599215, -1.6365557, 0.0944312
1.9837189, -12.8695413, 5.0662398, -1.6270140, 0.0964984
2.0834565, -12.8746690, 5.0715378, -1.6172799, 0.0984442
2.1832188, -12.8788152, 5.0757794, -1.6073566, 0.1002956
2.2831481, -12.8819658, 5.0800211, -1.5972435, 0.1019769
2.3832361, -12.8840997, 5.0841268, -1.5869577, 0.1034916
2.4828822, -12.8851938, 5.0860021, -1.5765671, 0.1050191
2.5827792, -12.8852439, 5.0878773, -1.5660058, 0.1063980
2.6829495, -12.8842280, 5.0897525, -1.5552846, 0.1076240
2.7827523, -12.8821416, 5.0900351, -1.5444843, 0.1087677
2.8824179, -12.8789758, 5.0892516, -1.5335841, 0.1098360
2.9824013, -12.8747015, 5.0884680, -1.5225437, 0.1107851
3.0825721, -12.8693047, 5.0873871, -1.5113876, 0.1116169
3.1818254, -12.8628469, 5.0836912, -1.5002468, 0.1123855
3.2814130, -12.8552462, 5.0799952, -1.4889870, 0.1130726
3.3813373, -12.8464814, 5.0762993, -1.4776139, 0.1136767
3.4807207, -12.8366234, 5.0708710, -1.4662338, 0.1142145
3.5797299, -12.8256622, 5.0640593, -1.4548311, 0.1147127
3.6790595, -12.8135125, 5.0572476, -1.4433287, 0.1151648
3.7787035, -12.8001544, 5.0504360, -1.4317298, 0.1155694
